Vendor name,Date,Product Name,Product Code,Quantity,Unit Price,Final Price,S Code,Other
LOTTEMART KUNINGAN CITY,2019-04-14,ULTRA MILK PLAIN 1000 ML 17200 1,8998009010613,1,17200,17200,,,,
,,BAYAM HIJAU 150g,2149200000002,1,9000,9000,SCode21492010009000020004,1,,
,,CABE MERAH KERITING JS,2402750000008,1,5635,5635,SCode24027590005635002301,5.635,,
,,CABE RAWIT MERAH 100 G,2051170000008,1,17500,17500,,1,,
,,BUMBU DAPUR 250G EA,2056290000006,1,17000,17000,,1,,
,,MERBABU KACANG HIJAU 400 GR,8995152002151,1,19600,19600,,1,,
,,TEMPE POTONG,0400197400001,1,7500,7500,,LD,,
,
,
Card Number,557791******0216
Total Amount,93435
Discount,0
Suggested Amount,93435
Status,LOOKS FINE